RideID,PickupDateTime,DropoffDateTime,PickupZone,PickupLatitude,PickupLongitude,DropoffZone,DropoffLatitude,DropoffLongitude,DistanceKM,FareAmount,SurgeMultiplier,RideStatus,WaitingTimeMinutes,EstimatedTripDurationMinutes,ActualTripDurationMinutes,DriverID,CustomerID,CancellationReason,DriverRating,CustomerRating
R2003,2024-02-04 12:47:29.850236,2024-02-04 13:13:29.850236,Hitec City,17.440600083272972,78.36857081231213,Gachibowli,17.4373546788501,78.35323111377434,1.67,109.04,1.2,Cancelled by Customer,3,26,26,D7,C14,,5,3
R2004,2024-04-10 15:50:26.363572,2024-04-10 16:16:26.363572,Hitec City,17.454437804463954,78.37804752610523,Gachibowli,17.436679671576407,78.34711924045617,3.83,134.96,1.2,Completed,9,27,26,D8,C11,,3,4
R2005,2024-02-28 06:03:40.663196,2024-02-28 06:41:40.663196,Banjara Hills,17.41139526501843,78.45395124973739,Banjara Hills,17.41583956683428,78.45048841561102,0.62,114.44,1.2,Cancelled by Customer,4,38,38,D5,C19,,4,5
R2006,2024-04-11 10:56:03.799249,2024-04-11 11:33:03.799249,Banjara Hills,17.408485157948245,78.45189684800742,Gachibowli,17.438235952244813,78.3503187069849,11.27,240.74,1.0,Completed,7,36,37,D4,C3,,3,5
R2007,2024-06-07 22:12:52.160784,2024-06-07 22:35:52.160784,Banjara Hills,17.415168445548744,78.45763500654516,Banjara Hills,17.406894202601254,78.45101929602767,1.16,98.42,1.5,Cancelled by Customer,10,22,23,D10,C7,,4,4
R2008,2024-06-13 21:16:54.372982,2024-06-13 21:52:54.372982,Gachibowli,17.438046075993675,78.34448172976401,Banjara Hills,17.422468252655083,78.44625431140557,10.94,235.28,1.0,Cancelled by Customer,7,31,36,D6,C7,,4,4
R2009,2024-05-30 15:42:04.654146,2024-05-30 16:22:04.654146,Banjara Hills,17.409585178579608,78.45153916738582,Hitec City,17.43765226792322,78.38615025731664,7.61,201.32,1.2,Completed,1,40,40,D6,C10,,3,3
R2010,2024-02-28 20:34:25.522674,2024-02-28 21:14:25.522674,Hitec City,17.45144733155003,78.36759499026529,Gachibowli,17.436255209712243,78.35604735516849,2.09,135.08,1.0,Completed,1,40,40,D1,C2,,4,4
R2011,2024-01-09 23:07:36.296993,2024-01-09 23:31:36.296993,Hitec City,17.453357977393047,78.37293834655175,Gachibowli,17.440975220407903,78.34522513018112,3.25,125.0,1.0,Completed,10,22,24,D3,C4,,5,4
R2012,2024-03-05 05:56:48.482580,2024-03-05 06:24:48.482580,Hitec City,17.437733331164324,78.37465858537026,Hitec City,17.44797186511418,78.36729274275369,1.38,108.56,1.0,Completed,5,33,28,D6,C7,,5,5
R2013,2024-04-18 17:36:44.048710,2024-04-18 17:56:44.048710,Gachibowli,17.448757173059313,78.34531302083151,Hitec City,17.443379676693674,78.36980363267125,2.67,112.04,1.0,Completed,1,19,20,D1,C19,,3,3
R2014,2024-05-23 18:05:13.178512,2024-05-23 18:40:13.178512,Gachibowli,17.441249726035707,78.34854910487664,Hitec City,17.442614076882503,78.3742230464172,2.73,135.26,1.2,Cancelled by Customer,8,37,35,D3,C19,,4,3
R2015,2024-04-19 15:04:18.985399,2024-04-19 15:23:18.985399,Hitec City,17.44211602365663,78.37021515248058,Banjara Hills,17.417452950059566,78.45795840943421,9.7,194.9,1.5,Cancelled by Customer,7,21,19,D4,C12,,4,3
R2016,2024-03-09 06:55:55.035065,2024-03-09 07:30:55.035065,Banjara Hills,17.419100312449064,78.44671874088377,Hitec City,17.442433875205545,78.38026693560262,7.51,192.62,1.0,Completed,2,40,35,D9,C18,,3,5
R2017,2024-04-30 15:05:55.168617,2024-04-30 15:44:55.168617,Banjara Hills,17.41984088074265,78.44415872843255,Banjara Hills,17.414300890975888,78.45072489087521,0.93,119.66,1.0,Completed,7,35,39,D9,C9,,4,5
R2018,2024-06-30 14:51:26.201287,2024-06-30 15:24:26.201287,Hitec City,17.456119650853374,78.37491381158627,Hitec City,17.441405108439405,78.37527601625071,1.64,119.18,1.2,Completed,5,31,33,D2,C15,,5,5
R2019,2024-03-08 23:49:15.224977,2024-03-09 00:06:15.224977,Gachibowli,17.433175352190286,78.35758952154345,Gachibowli,17.443567405023888,78.35085669290632,1.36,91.82,1.2,Completed,5,20,17,D9,C7,,4,3
R2020,2024-06-13 13:57:53.378960,2024-06-13 14:28:53.378960,Hitec City,17.44260334404913,78.37508355076417,Gachibowli,17.43360382158573,78.34690051248693,3.15,134.3,1.5,Completed,10,31,31,D6,C20,,4,5
R2021,2024-05-21 14:10:55.266829,2024-05-21 14:45:55.266829,Banjara Hills,17.411837603426836,78.44171604635733,Banjara Hills,17.41828331397736,78.43918749918946,0.77,111.74,1.5,Completed,6,34,35,D10,C7,,3,5
R2022,2024-06-19 00:00:26.592888,2024-06-19 00:08:26.592888,Banjara Hills,17.421194762421386,78.45335199606806,Banjara Hills,17.41398298465002,78.44237438444114,1.41,78.92,1.2,Completed,2,11,8,D6,C17,,5,5
R2023,2024-06-10 00:05:36.305382,2024-06-10 00:34:36.305382,Banjara Hills,17.419034739241592,78.43881818635094,Banjara Hills,17.420818160535276,78.43885294908755,0.2,95.9,1.0,Completed,7,29,29,D2,C1,,5,3
R2024,2024-06-25 20:15:48.863881,2024-06-25 20:39:48.863881,Banjara Hills,17.40916199440856,78.43936508766025,Hitec City,17.45418664062472,78.38224683511034,7.86,180.32,1.2,Cancelled by Customer,8,24,24,D4,C14,,4,3
R2025,2024-06-05 20:33:08.293053,2024-06-05 20:50:08.293053,Banjara Hills,17.42396264276357,78.44467124149665,Hitec City,17.43935415446768,78.38517643171942,6.54,153.98,1.0,Cancelled by Customer,8,16,17,D2,C17,,5,5
R2026,2024-05-01 22:40:09.007314,2024-05-01 23:19:09.007314,Gachibowli,17.43863550606628,78.3523159140589,Gachibowli,17.432447925919778,78.35611726280037,0.8,118.1,1.5,Cancelled by Customer,2,38,39,D3,C5,,5,5
R2027,2024-04-02 13:07:44.691037,2024-04-02 13:40:44.691037,Banjara Hills,17.425458925499253,78.4467400688715,Banjara Hills,17.411330248904214,78.45214273026357,1.67,119.54,1.2,Cancelled by Customer,2,38,33,D8,C5,,3,4
R2028,2024-06-03 17:43:49.698250,2024-06-03 18:02:49.698250,Hitec City,17.444846622160785,78.37586304987705,Gachibowli,17.431065611478136,78.35104165817754,3.05,115.1,1.5,Cancelled by Customer,6,22,19,D7,C7,,3,4
R2029,2024-06-29 21:41:26.742047,2024-06-29 21:50:26.742047,Hitec City,17.44310447727657,78.36915582144033,Banjara Hills,17.406979766269558,78.44637765113244,9.12,172.94,1.0,Cancelled by Customer,3,12,9,D7,C17,,4,5
R2030,2024-01-12 03:15:41.092297,2024-01-12 03:31:41.092297,Banjara Hills,17.42519427892472,78.45726378679088,Banjara Hills,17.417537849003946,78.44618608844874,1.45,91.4,1.5,Cancelled by Customer,8,18,16,D10,C6,,5,3
R2031,2024-05-12 18:36:51.260789,2024-05-12 18:44:51.260789,Banjara Hills,17.42522359103379,78.44972155631302,Gachibowli,17.43045421809502,78.34110555451137,11.54,200.48,1.2,Cancelled by Customer,9,12,8,D5,C10,,5,4
R2032,2024-05-13 05:37:24.949331,2024-05-13 05:43:24.949331,Hitec City,17.443137754592723,78.37174739646946,Gachibowli,17.437357211928887,78.35223828137956,2.17,85.04,1.5,Cancelled by Customer,7,9,6,D5,C20,,4,3
R2033,2024-03-05 10:53:48.180950,2024-03-05 11:12:48.180950,Hitec City,17.442374316363836,78.37325332666849,Gachibowli,17.441671512373436,78.35698529923454,1.73,99.26,1.2,Cancelled by Customer,1,16,19,D10,C19,,5,3
R2034,2024-01-16 15:31:13.016608,2024-01-16 16:10:13.016608,Gachibowli,17.437282084945217,78.34259785622679,Hitec City,17.444428179446103,78.37338573265569,3.36,148.82,1.5,Cancelled by Customer,6,34,39,D6,C3,,5,3
R2035,2024-05-30 12:06:27.093193,2024-05-30 12:31:27.093193,Hitec City,17.45619986460984,78.37659040198372,Gachibowli,17.448100075295773,78.34371503448719,3.6,130.7,1.2,Completed,8,21,25,D10,C11,,5,4
R2036,2024-04-20 19:59:52.321684,2024-04-20 20:22:52.321684,Hitec City,17.444546205092905,78.3747224035161,Hitec City,17.454937419561904,78.36818456583704,1.35,100.7,1.0,Completed,6,24,23,D6,C12,,4,3
R2037,2024-02-10 08:11:04.164185,2024-02-10 08:43:04.164185,Gachibowli,17.43359078895767,78.34865601801899,Banjara Hills,17.408058932647936,78.45047229966158,11.17,232.04,1.0,Completed,6,30,32,D1,C15,,3,4
R2038,2024-01-28 17:42:23.335852,2024-01-28 18:00:23.335852,Gachibowli,17.438149041309373,78.35036166109876,Banjara Hills,17.42064558904871,78.45735065345136,11.52,215.24,1.5,Cancelled by Customer,1,17,18,D1,C20,,5,4
R2039,2024-04-25 19:08:01.272271,2024-04-25 19:19:01.272271,Hitec City,17.456671530057914,78.38391103222266,Banjara Hills,17.424734305487995,78.43988506158298,6.92,149.54,1.0,Completed,2,10,11,D6,C1,,4,4
R2040,2024-01-02 18:32:41.190969,2024-01-02 18:54:41.190969,Banjara Hills,17.423380981665737,78.44980486451014,Hitec City,17.4533351567857,78.3680023260886,9.3,194.6,1.5,Completed,6,20,22,D8,C2,,5,5
R2041,2024-01-04 11:30:42.332957,2024-01-04 11:37:42.332957,Banjara Hills,17.406958192864003,78.45126511780175,Gachibowli,17.438623885397668,78.34410939646207,11.9,203.3,1.5,Cancelled by Customer,1,12,7,D6,C3,,4,3
R2042,2024-05-05 22:28:23.630754,2024-05-05 22:50:23.630754,Banjara Hills,17.423019908297757,78.44741844595276,Hitec City,17.43946406399765,78.37320842958258,8.08,179.96,1.5,Cancelled by Customer,7,20,22,D2,C5,,5,4
R2043,2024-06-21 21:28:24.615051,2024-06-21 22:06:24.615051,Banjara Hills,17.406338854207007,78.44460783172543,Banjara Hills,17.413550150999125,78.44459203896017,0.8,116.6,1.5,Completed,2,37,38,D3,C19,,4,4
R2044,2024-05-30 09:49:21.643680,2024-05-30 10:22:21.643680,Gachibowli,17.447812939203867,78.355981051951,Banjara Hills,17.416376590005466,78.45005248729495,10.57,226.34,1.5,Completed,6,36,33,D8,C9,,4,4
R2045,2024-01-11 23:59:47.213960,2024-01-12 00:10:47.213960,Gachibowli,17.44797528577093,78.35187860301572,Banjara Hills,17.422032490569727,78.44023905720218,9.81,184.22,1.0,Cancelled by Customer,10,15,11,D2,C14,,5,4
R2046,2024-01-06 07:01:37.153559,2024-01-06 07:18:37.153559,Banjara Hills,17.41337411999005,78.45543393477185,Hitec City,17.456817687807114,78.37007196052119,10.26,198.62,1.2,Cancelled by Customer,3,14,17,D8,C12,,3,4
R2047,2024-04-09 03:54:03.125001,2024-04-09 04:30:03.125001,Banjara Hills,17.411399842733378,78.44218664097629,Gachibowli,17.43969387864807,78.34643024136574,10.63,231.56,1.5,Completed,9,37,36,D2,C6,,5,5
R2048,2024-01-27 23:43:44.521138,2024-01-27 23:51:44.521138,Gachibowli,17.448670815822005,78.35663844560221,Hitec City,17.444626026586104,78.37706452861397,2.21,88.52,1.5,Completed,2,12,8,D9,C1,,5,5
R2049,2024-05-17 21:33:27.487176,2024-05-17 22:09:27.487176,Gachibowli,17.445618360129817,78.34832178492981,Hitec City,17.441049808325587,78.37372622176134,2.74,136.88,1.5,Cancelled by Customer,9,37,36,D2,C20,,4,3
R2050,2024-06-04 05:03:31.965505,2024-06-04 05:39:31.965505,Hitec City,17.438325882160594,78.37519847167684,Gachibowli,17.44601347108787,78.33990708769186,3.84,150.08,1.0,Completed,5,38,36,D5,C18,,4,5
R2051,2024-03-22 17:05:25.484142,2024-03-22 17:42:25.484142,Banjara Hills,17.424252274108564,78.45666096938292,Gachibowli,17.439731290298237,78.35756511846738,10.65,233.3,1.5,Cancelled by Customer,6,39,37,D3,C17,,4,4
R2052,2024-05-12 23:13:35.986416,2024-05-12 23:21:35.986416,Hitec City,17.43756601136052,78.37562381926982,Banjara Hills,17.410021810409095,78.45750842219195,9.21,172.52,1.2,Cancelled by Customer,6,13,8,D10,C9,,5,3
R2053,2024-06-29 14:22:06.954364,2024-06-29 14:33:06.954364,Gachibowli,17.44719259546598,78.34455338188239,Banjara Hills,17.410264608404376,78.45796604537837,12.71,219.02,1.5,Cancelled by Customer,10,9,11,D6,C9,,4,5
R2054,2024-04-24 16:01:11.981669,2024-04-24 16:26:11.981669,Hitec City,17.45146895219613,78.38316466109883,Banjara Hills,17.408097225004614,78.45759524969112,9.25,198.5,1.5,Completed,5,29,25,D3,C14,,4,3
R2055,2024-03-05 14:11:42.406571,2024-03-05 14:40:42.406571,Gachibowli,17.442071704434113,78.35541677012652,Gachibowli,17.433708972531345,78.3436693181973,1.55,112.1,1.2,Completed,9,25,29,D1,C1,,3,4
R2056,2024-06-30 07:01:20.494033,2024-06-30 07:10:20.494033,Hitec City,17.454683040491307,78.38099836000606,Banjara Hills,17.406798923510564,78.44104530237722,8.3,163.1,1.0,Cancelled by Customer,3,14,9,D4,C13,,3,3
R2057,2024-06-10 22:59:49.174977,2024-06-10 23:38:49.174977,Gachibowli,17.438428367568104,78.3552539429824,Banjara Hills,17.418462364287556,78.44534262630197,9.81,226.22,1.0,Cancelled by Customer,2,38,39,D10,C2,,4,3
R2058,2024-04-20 13:36:47.178028,2024-04-20 14:09:47.178028,Banjara Hills,17.418392405887747,78.45311946315468,Banjara Hills,17.42521345508535,78.43887425645363,1.69,119.78,1.5,Completed,8,38,33,D5,C6,,5,4
R2059,2024-03-22 12:28:16.826267,2024-03-22 12:54:16.826267,Banjara Hills,17.421291934831082,78.43954723244906,Hitec City,17.44174807153935,78.38461972765472,6.26,164.12,1.0,Completed,5,30,26,D3,C14,,3,5
R2060,2024-01-06 04:29:53.103362,2024-01-06 04:51:53.103362,Hitec City,17.457293525737246,78.38024866413069,Banjara Hills,17.41727309588986,78.45574378141197,9.16,192.92,1.0,Cancelled by Customer,8,18,22,D7,C2,,3,4
R2061,2024-01-07 00:27:02.748324,2024-01-07 00:37:02.748324,Hitec City,17.448212286646093,78.37854885312129,Gachibowli,17.444186304435625,78.35077662060691,2.98,100.76,1.5,Cancelled by Customer,3,8,10,D1,C13,,5,4
R2062,2024-06-11 03:10:08.929294,2024-06-11 03:45:08.929294,Hitec City,17.455071657861637,78.37120579102621,Gachibowli,17.431428050145424,78.35083949030631,3.4,143.3,1.5,Cancelled by Customer,1,38,35,D8,C9,,3,3
R2063,2024-02-21 04:47:16.752912,2024-02-21 04:58:16.752912,Gachibowli,17.439478818272338,78.35087369817839,Hitec City,17.45280216420505,78.37580800933517,3.03,102.86,1.2,Completed,9,14,11,D7,C6,,3,3
R2064,2024-05-01 04:10:12.627835,2024-05-01 04:44:12.627835,Gachibowli,17.444511030587677,78.35438669080126,Banjara Hills,17.422906733417364,78.44973255960551,10.4,225.8,1.0,Completed,2,31,34,D4,C6,,4,5
R2065,2024-04-30 17:55:25.794982,2024-04-30 18:06:25.794982,Banjara Hills,17.421745382834906,78.45575012955851,Gachibowli,17.437101105429324,78.34295636309538,12.09,211.58,1.0,Completed,2,6,11,D10,C2,,5,3
R2066,2024-04-06 19:16:41.729254,2024-04-06 19:50:41.729254,Hitec City,17.456113857909433,78.36797254409437,Hitec City,17.43751515398144,78.38033410715099,2.45,130.4,1.5,Cancelled by Customer,3,29,34,D3,C4,,4,5
R2067,2024-01-25 21:34:12.197562,2024-01-25 21:43:12.197562,Gachibowli,17.439551392415073,78.33934992058921,Banjara Hills,17.4141496561992,78.44377878067053,11.43,200.66,1.5,Completed,5,13,9,D8,C9,,3,4
R2068,2024-06-12 04:32:19.947790,2024-06-12 05:07:19.947790,Gachibowli,17.44635130798406,78.35354931505748,Hitec City,17.446753067862105,78.36818961200485,1.55,121.1,1.0,Cancelled by Customer,8,40,35,D1,C6,,4,3
R2069,2024-05-30 08:20:17.635016,2024-05-30 08:29:17.635016,Banjara Hills,17.406400984616518,78.443405925765,Banjara Hills,17.423581360923002,78.44109867709075,1.93,86.66,1.2,Cancelled by Customer,5,9,9,D9,C5,,3,4
R2070,2024-06-27 09:10:23.503631,2024-06-27 09:47:23.503631,Banjara Hills,17.416242356431017,78.45570605374955,Banjara Hills,17.41765037833198,78.4412851121041,1.54,123.98,1.0,Cancelled by Customer,10,40,37,D1,C11,,3,5
R2071,2024-06-21 19:34:11.373358,2024-06-21 20:06:11.373358,Banjara Hills,17.423730733003215,78.44410951924844,Hitec City,17.454980789823747,78.37830902403108,7.8,191.6,1.5,Cancelled by Customer,3,30,32,D7,C17,,5,3
R2072,2024-06-26 22:45:41.941164,2024-06-26 23:24:41.941164,Hitec City,17.45612329691183,78.37807380664503,Gachibowli,17.43786832267252,78.35409663830765,3.25,147.5,1.0,Cancelled by Customer,10,37,39,D9,C17,,5,3
R2073,2024-02-24 11:19:02.159953,2024-02-24 11:28:02.159953,Banjara Hills,17.421940989757942,78.45208072855333,Banjara Hills,17.42403578915698,78.44572996290606,0.71,72.02,1.5,Completed,8,7,9,D6,C11,,5,5
R2074,2024-01-14 03:59:18.587348,2024-01-14 04:31:18.587348,Hitec City,17.447172720586202,78.37931056905812,Gachibowli,17.444630383663736,78.34984240296492,3.14,135.68,1.0,Cancelled by Customer,6,37,32,D5,C16,,4,3
R2075,2024-04-15 20:35:53.697940,2024-04-15 20:45:53.697940,Hitec City,17.442907395418565,78.38549317642044,Gachibowli,17.44599402509827,78.35883792253419,2.85,99.2,1.5,Cancelled by Customer,6,9,10,D2,C3,,4,5
R2076,2024-01-13 21:43:06.738836,2024-01-13 22:01:06.738836,Banjara Hills,17.407283856074823,78.45503776015305,Gachibowli,17.445118462488427,78.35860391160736,11.06,209.72,1.0,Cancelled by Customer,1,20,18,D10,C4,,5,4
R2077,2024-06-05 13:50:06.152426,2024-06-05 14:00:06.152426,Hitec City,17.4505563428509,78.3778530125312,Gachibowli,17.441293204742784,78.35861716268938,2.29,92.48,1.5,Cancelled by Customer,2,5,10,D2,C11,,3,5
R2078,2024-04-15 15:29:33.975377,2024-04-15 16:09:33.975377,Banjara Hills,17.414221431949255,78.44450087087372,Hitec City,17.44118269072246,78.37287423844596,8.17,208.04,1.0,Cancelled by Customer,5,38,40,D6,C20,,4,4
R2079,2024-01-26 17:44:56.992999,2024-01-26 17:49:56.992999,Hitec City,17.452222192603656,78.37838747565375,Banjara Hills,17.41012267676457,78.45486807572064,9.37,169.94,1.2,Cancelled by Customer,3,5,5,D5,C7,,5,5
R2080,2024-02-16 17:20:10.241672,2024-02-16 17:49:10.241672,Hitec City,17.450519219901256,78.37925275402968,Gachibowli,17.43051789857527,78.34387707734098,4.36,145.82,1.0,Cancelled by Customer,6,31,29,D6,C1,,5,4
R2081,2024-01-01 14:30:14.565618,2024-01-01 14:40:14.565618,Banjara Hills,17.410748381429848,78.44055889895327,Banjara Hills,17.409835867891662,78.45642937103436,1.69,85.28,1.5,Cancelled by Customer,4,15,10,D5,C15,,3,3
R2082,2024-05-25 15:11:25.753176,2024-05-25 15:30:25.753176,Gachibowli,17.439144813473284,78.34286914568325,Hitec City,17.45343182166929,78.37233895985825,3.51,120.62,1.5,Cancelled by Customer,3,15,19,D9,C10,,5,3
R2083,2024-04-25 06:00:43.799579,2024-04-25 06:33:43.799579,Gachibowli,17.434403831978727,78.34564492242062,Banjara Hills,17.41042927907343,78.44943633707156,11.33,235.46,1.0,Completed,3,35,33,D1,C5,,3,3
R2084,2024-03-01 22:17:24.078674,2024-03-01 22:37:24.078674,Hitec City,17.438954429238585,78.37143702101359,Hitec City,17.44061710084213,78.37579270734433,0.5,86.0,1.5,Cancelled by Customer,3,15,20,D8,C13,,3,5
R2085,2024-01-13 03:54:37.354301,2024-01-13 04:02:37.354301,Banjara Hills,17.416603335199703,78.44153630060825,Gachibowli,17.443014316206863,78.3397022370383,11.2,196.4,1.2,Cancelled by Customer,10,7,8,D8,C16,,5,4
R2086,2024-02-14 05:54:49.276058,2024-02-14 06:10:49.276058,Banjara Hills,17.41243850581351,78.44214322433888,Hitec City,17.44205553284273,78.37659966148594,7.69,166.28,1.0,Cancelled by Customer,3,13,16,D8,C8,,4,4
R2087,2024-05-12 23:34:21.872192,2024-05-12 23:47:21.872192,Banjara Hills,17.42416018709178,78.43955858611653,Hitec City,17.456323226134533,78.3695961934493,8.24,168.38,1.5,Completed,1,10,13,D2,C12,,4,4
R2088,2024-06-09 16:37:52.818191,2024-06-09 17:13:52.818191,Hitec City,17.45375196855219,78.37955406789557,Banjara Hills,17.41004276571686,78.44409934772705,8.4,204.8,1.5,Cancelled by Customer,3,37,36,D8,C17,,4,5
R2089,2024-01-11 23:04:53.922035,2024-01-11 23:09:53.922035,Banjara Hills,17.415611440691826,78.44780582789384,Banjara Hills,17.423756952664167,78.45756233377055,1.38,74.06,1.5,Cancelled by Customer,7,0,5,D9,C11,,4,4
R2090,2024-03-22 15:20:32.752523,2024-03-22 15:50:32.752523,Hitec City,17.443106316986206,78.38181174520109,Banjara Hills,17.408943583859624,78.44696807005704,7.89,189.68,1.0,Cancelled by Customer,6,26,30,D1,C4,,3,4
R2091,2024-01-09 15:38:57.939861,2024-01-09 16:18:57.939861,Gachibowli,17.433067807917634,78.35723756666944,Hitec City,17.43756513105668,78.37201217392277,1.65,129.8,1.0,Cancelled by Customer,7,36,40,D1,C13,,5,5
R2092,2024-03-08 19:18:16.917918,2024-03-08 19:43:16.917918,Gachibowli,17.442251115892386,78.34115760208044,Hitec City,17.450760629943435,78.37597635988209,3.81,133.22,1.5,Completed,8,24,25,D8,C17,,5,4
R2093,2024-02-16 23:55:28.829623,2024-02-17 00:24:28.829623,Gachibowli,17.433908992327172,78.34349545482374,Banjara Hills,17.42177091647022,78.44888107912526,11.26,228.62,1.2,Completed,9,29,29,D9,C1,,3,4
R2094,2024-03-14 23:58:29.018183,2024-03-15 00:23:29.018183,Hitec City,17.43976556745083,78.37953931999382,Gachibowli,17.44546254685203,78.34351674542083,3.87,133.94,1.0,Completed,3,24,25,D3,C12,,4,3
R2095,2024-02-08 16:37:56.770801,2024-02-08 17:08:56.770801,Hitec City,17.44472434001394,78.37892510740797,Banjara Hills,17.4248754793323,78.45261818807563,8.12,193.94,1.5,Cancelled by Customer,4,31,31,D9,C15,,3,5
R2096,2024-01-25 06:43:30.182993,2024-01-25 06:51:30.182993,Hitec City,17.4406302635907,78.37746137324373,Hitec City,17.45529001397851,78.37343491668358,1.69,82.28,1.0,Cancelled by Customer,6,8,8,D5,C12,,3,3
R2097,2024-05-02 12:23:01.635898,2024-05-02 12:58:01.635898,Banjara Hills,17.419754537191448,78.44298626829098,Banjara Hills,17.41674120819883,78.44786229488143,0.62,109.94,1.5,Completed,6,34,35,D9,C7,,5,3
R2098,2024-03-25 06:36:41.636310,2024-03-25 07:16:41.636310,Banjara Hills,17.418673661273786,78.43866215742612,Gachibowli,17.437965104810953,78.34576521760971,10.09,231.08,1.2,Completed,3,36,40,D5,C16,,4,4
R2099,2024-06-01 00:02:53.233291,2024-06-01 00:28:53.233291,Gachibowli,17.44242893735618,78.35727683546938,Hitec City,17.452752619684325,78.37880218936972,2.56,119.72,1.5,Completed,5,21,26,D2,C18,,5,5
R2100,2024-05-03 03:20:14.277953,2024-05-03 03:59:14.277953,Banjara Hills,17.407179006083314,78.4471369142804,Hitec City,17.444695155375644,78.38415308010524,7.88,203.06,1.0,Cancelled by Customer,5,42,39,D5,C1,,3,5
R2101,2024-04-17 05:22:04.714359,2024-04-17 05:45:04.714359,Hitec City,17.456400800546394,78.37120843266302,Banjara Hills,17.416846352623534,78.45263215592006,9.69,200.78,1.0,Completed,9,28,23,D1,C15,,5,3
R2102,2024-04-18 11:34:45.218176,2024-04-18 11:46:45.218176,Hitec City,17.45692940238173,78.38376858791995,Hitec City,17.45654801398807,78.37642718815697,0.78,77.36,1.2,Completed,7,13,12,D10,C14,,5,5
R2103,2024-05-15 20:07:07.506544,2024-05-15 20:18:07.506544,Hitec City,17.452043827660255,78.3775147029283,Gachibowli,17.44065850551769,78.35207028869156,2.98,102.26,1.5,Completed,2,6,11,D8,C19,,5,4
R2104,2024-05-31 21:21:21.977559,2024-05-31 21:42:21.977559,Banjara Hills,17.41818736545161,78.44270821776554,Gachibowli,17.44616160762105,78.34741215653959,10.58,208.46,1.0,Cancelled by Customer,5,24,21,D6,C2,,3,4
R2105,2024-02-15 03:25:15.020470,2024-02-15 03:46:15.020470,Hitec City,17.450186336219385,78.38465339684772,Hitec City,17.456469958566924,78.38527217737573,0.7,89.9,1.5,Cancelled by Customer,7,20,21,D1,C11,,3,5
R2106,2024-05-25 09:34:28.080187,2024-05-25 09:48:28.080187,Hitec City,17.44248051740097,78.37644028583674,Hitec City,17.439950840169672,78.3855035989307,1.0,83.0,1.0,Cancelled by Customer,1,11,14,D6,C20,,4,3
R2107,2024-05-22 03:29:11.733838,2024-05-22 04:03:11.733838,Gachibowli,17.436104841780356,78.34806540152633,Gachibowli,17.436279496190622,78.35024656643202,0.23,103.76,1.5,Completed,5,36,34,D9,C17,,5,5
R2108,2024-01-03 21:33:59.010901,2024-01-03 21:42:59.010901,Gachibowli,17.437446747258424,78.35410842907439,Gachibowli,17.439176481236846,78.33891521559244,1.62,82.94,1.2,Completed,1,6,9,D5,C18,,3,3
R2109,2024-04-22 05:08:42.692625,2024-04-22 05:30:42.692625,Hitec City,17.437547755585115,78.38037924571903,Gachibowli,17.444153081952628,78.3579536917888,2.49,112.88,1.0,Completed,10,22,22,D1,C13,,3,4
R2110,2024-02-03 12:18:12.164811,2024-02-03 12:30:12.164811,Hitec City,17.438458346864355,78.37386689723584,Banjara Hills,17.40957681955232,78.45214577017252,8.9,174.8,1.0,Completed,3,9,12,D7,C3,,5,5
R2111,2024-06-30 03:41:58.565130,2024-06-30 04:18:58.565130,Banjara Hills,17.412890827017762,78.44387379208341,Banjara Hills,17.416997878754017,78.44838656342257,0.66,113.42,1.0,Completed,3,34,37,D6,C13,,4,5
R2112,2024-04-06 23:55:39.118456,2024-04-07 00:13:39.118456,Banjara Hills,17.42220968119866,78.44921740889646,Gachibowli,17.44280761727396,78.35396729086122,10.36,201.32,1.2,Cancelled by Customer,1,13,18,D9,C11,,4,4
R2113,2024-01-25 22:41:22.054635,2024-01-25 22:46:22.054635,Gachibowli,17.432268226369207,78.35509058123876,Gachibowli,17.4317889948297,78.3505182159396,0.49,63.38,1.5,Completed,7,8,5,D7,C8,,5,3
R2114,2024-03-02 08:19:55.938721,2024-03-02 08:57:55.938721,Gachibowli,17.448830774180674,78.34679407835344,Hitec City,17.451963199864117,78.3764958076966,3.17,145.04,1.2,Completed,3,39,38,D1,C19,,3,3
R2115,2024-05-08 16:54:46.009819,2024-05-08 17:21:46.009819,Banjara Hills,17.408562119141703,78.44330545341664,Gachibowli,17.434858510857083,78.34021028345886,11.32,226.34,1.2,Completed,7,32,27,D1,C6,,4,4
R2116,2024-05-24 09:03:54.142077,2024-05-24 09:11:54.142077,Hitec City,17.43872391628188,78.37180445904572,Banjara Hills,17.410482161271663,78.45674154300585,9.54,176.48,1.2,Completed,9,11,8,D7,C17,,5,4
R2117,2024-02-07 17:21:09.841580,2024-02-07 17:49:09.841580,Banjara Hills,17.419264919060982,78.45143090808364,Banjara Hills,17.409791111675013,78.45373896053906,1.08,104.96,1.5,Cancelled by Customer,2,23,28,D3,C1,,5,4
R2118,2024-01-13 05:18:56.131500,2024-01-13 05:34:56.131500,Hitec City,17.44630818680396,78.3819501882073,Gachibowli,17.438592994201876,78.3572005109494,2.76,107.12,1.0,Completed,3,21,16,D3,C11,,4,4
R2119,2024-03-06 13:40:21.023810,2024-03-06 13:53:21.023810,Hitec City,17.455879664560353,78.378295157943,Gachibowli,17.446475204725957,78.35032034407244,3.15,107.3,1.5,Cancelled by Customer,5,14,13,D1,C2,,5,3
